25 25
#########################
#              #        #
#              #        #
#              #        #
#      !       #    >   #
#              #        #
#              #    #####
#                       #
#                 !     #
#                       #
#         #   #         #
###########   ###########
#         #   #         #
#                       #
#                  #    #
#      @                #
#                       #
###            #        #
#                       #
#                       #
#             ###       #
#      #        #       #
#               #       #
#               #       #
#########################
