25 25
#########################
#              #        #
#              #        #
#              #    >   #
#      !       #        #
#              #        #
#              #    #####
#                       #
#                 !     #
#                       #
#         #   #         #
###########   ###########
#         #   #         #
#                       #
#                  #    #
#      @                #
#                       #
###            #        #
#                       #
#                       #
#             ###       #
#      #        #       #
#               #       #
#               #       #
#########################
